,ecg_id,r_peaks
0,1,[114 207 299 392 487 582 678 773 864]
1,2,[ 98 231 368 500 625 747 861]
2,3,[104 202 298 394 485 577 670 764 857]
3,4,[108 190 279 365 445 521 601 679 761 841 917]
4,5,[ 31 121 217 311 397 480 569 667 762 854 936]
5,6,[ 62 128 197 269 345 420 494 570 640 707 777 851 928]
6,7,[ 38 133 232 328 424 524 618 715 814 909]
7,8,[ 46 128 210 289 369 450 533 614 694 776 860 941]
8,9,[ 86 177 273 371 468 569 671 774 875]
9,10,[ 84 168 260 361 462 562 662 761 854 943]
10,11,[ 62 147 230 321 424 507 581 663 761 861]
11,12,[118 240 375 496 617 749 877]
12,13,[ 76 149 225 300 375 451 528 605 682 759 837 914]
13,14,[ 89 176 255 328 403 488 578 664 739 811 889]
14,15,[106 208 312 417 508 618 722 822 917]
15,16,[ 35 100 168 237 308 381 458 534 611 686 762 836 911]
16,17,"[ 34  77 120 163 206 249 291 334 377 420 463 506 549 584 616 657 690 723
 765 799 832 873 916]"
17,18,"[ 49  92 136 181 244 288 336 380 426 479 523 567 610 653 696 739 784 847
 893 939]"
18,19,[119 221 336 441 538 654 768 873]
19,20,"[ 67 112 154 197 240 283 325 368 411 453 497 538 580 624 667 710 754 797
 840 883 926]"
20,21,[100 188 278 358 436 509 587 673 764 850 932]
21,22,[ 91 166 241 318 394 470 541 611 684 760 837 915]
22,23,"[ 43  90 137 183 229 275 323 370 418 465 513 560 607 654 702 747 793 839
 886 934]"
23,24,[104 212 322 434 540 649 757 868]
24,25,[ 52 119 188 258 324 394 464 533 599 666 733 799 864 929]
25,26,[ 59 128 196 264 332 400 468 536 604 672 740 809 877 945]
26,27,[ 59 158 248 339 431 523 617 720 825 924]
27,28,[ 33 100 167 235 302 370 438 505 574 642 711 780 848 916]
28,29,[ 87 149 213 277 340 401 460 518 575 635 697 765 834 902]
29,30,[108 202 299 392 483 582 675 772 865]
30,31,[ 48 139 225 310 396 484 576 664 753 842 930]
31,32,[ 35  98 161 228 292 350 408 467 524 580 639 696 758 818 882 945]
32,33,[ 78 158 237 317 393 472 553 634 716 797 876]
33,34,"[ 43  89 132 179 224 270 316 361 404 450 495 541 586 632 678 724 769 814
 859 904 949]"
34,35,[102 188 268 345 422 502 584 666 746 825 908]
35,36,[ 80 138 202 262 327 394 463 531 600 666 734 801 873 941]
36,37,[ 88 191 294 402 507 612 698 800 912]
37,38,[ 82 164 248 329 410 490 573 656 742 824 905]
38,39,[ 61 127 196 263 329 396 464 531 601 668 737 806 874 944]
39,40,[ 72 167 262 352 446 539 631 724 820 916]
40,41,[ 74 157 239 325 406 491 573 654 734 818 899]
41,42,[135 245 340 440 542 648 737 839 946]
42,43,[ 54 134 211 287 366 440 512 584 657 729 806 886]
43,44,[ 80 169 266 376 483 581 674 771 879]
44,45,[ 61 121 185 249 313 376 440 504 569 633 699 765 831 897]
45,46,[ 73 144 216 288 361 436 510 582 655 729 802 873 944]
46,47,[102 183 261 340 422 501 579 658 735 809 885]
47,48,[ 92 154 218 287 359 434 508 580 648 715 785 859 933]
48,49,[ 69 135 203 274 342 412 480 547 615 686 757 827 896]
49,50,[ 41 119 217 297 382 481 565 663 748 847 934]
50,51,[123 213 305 397 490 586 677 774 870]
51,52,[ 94 173 252 336 420 504 583 661 736 813 886]
52,53,[ 38 123 207 288 374 461 541 621 701 782 862 938]
